Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAUTOFIN,EQ,04 03 2002,46.8,45,49.9,44.1,47.8,47.8,46.81,2628,123007.2,,2126,80.9
BAJAUTOFIN,EQ,05 03 2002,47.8,48,49,47.25,48.5,48.5,47.84,2857,136692.05,,2807,98.25
BAJAUTOFIN,EQ,06 03 2002,48.5,47.5,48.3,47.25,48,48.15,47.81,4625,221117.5,,4575,98.92
BAJAUTOFIN,EQ,07 03 2002,48.15,48.75,48.9,47.5,47.5,47.5,47.97,2025,97132.5,,1750,86.42
BAJAUTOFIN,EQ,08 03 2002,47.5,47,48,47,47.4,47.5,47.65,1700,81012.5,,1700,100
BAJAUTOFIN,EQ,11 03 2002,47.5,47,47.5,47,47.35,47.15,47.17,3125,147393.75,, , 
BAJAUTOFIN,EQ,12 03 2002,47.15,49,56.6,48.75,52.85,53.4,53.05,23924,1269247.15,,18371,67.92
BAJAUTOFIN,EQ,13 03 2002,53.4,52,53,48,49,49,50.83,5731,291332.2,,3430,59.85
BAJAUTOFIN,EQ,14 03 2002,49,50,50.9,49.1,50.1,50.1,50.08,1395,69862.25,,1395,100
BAJAUTOFIN,EQ,15 03 2002,50.1,51,52.45,50.25,52.45,52.45,51.36,5275,270910.45,,4525,85.78
BAJAUTOFIN,EQ,18 03 2002,52.45,52.5,53.7,50.5,50.5,51.1,52.23,8085,422304.25,,7000,86.58
BAJAUTOFIN,EQ,19 03 2002,51.1,50.5,51,48.75,49,49,49.62,955,47391.25,,950,99.48
BAJAUTOFIN,EQ,20 03 2002,49,48.65,50,48.2,50,49.5,48.96,2850,139526.25,,2450,85.96
BAJAUTOFIN,EQ,21 03 2002,49.5,47.75,48.9,47,48.9,48,47.58,2025,96341.25,,1925,95.06
BAJAUTOFIN,EQ,22 03 2002,48,47.1,48.75,47,47,47.4,47.59,1850,88045.8,,1245,67.3
BAJAUTOFIN,EQ,26 03 2002,47.4,45.3,47.45,45.25,47.45,47.05,46.91,2932,137538.3,,2007,68.45
BAJAUTOFIN,EQ,27 03 2002,47.05,46.5,46.5,46.5,46.5,46.5,46.5,6,279,,6,100
BAJAUTOFIN,EQ,28 03 2002,46.5,45.05,48.2,45.05,48.2,48.15,47.72,1880,89707.5,,1370,72.87
BAJAUTOFIN,EQ,01 04 2002,48.15,47.05,47.25,47,47.25,47.25,47.06,1000,47055,,1000,100
BAJAUTOFIN,EQ,02 04 2002,47.25,47.8,47.95,45.6,47,47.05,47.08,1760,82854.25,,1505,85.51
BAJAUTOFIN,EQ,03 04 2002,47.05,47.95,47.95,45.55,47.05,47.1,46.93,620,29095.05,,420,67.74
BAJAUTOFIN,EQ,04 04 2002,47.1,45.3,52.5,45.25,49,48.5,48.89,6350,310432.5,,5375,84.65
BAJAUTOFIN,EQ,05 04 2002,48.5,49.35,49.35,48.25,49.1,48.55,48.8,2163,105547,,2080,96.16
BAJAUTOFIN,EQ,08 04 2002,48.55,48.05,49.5,47,47,47.5,48.16,4751,228805.75,,4726,99.47
BAJAUTOFIN,EQ,09 04 2002,47.5,48.5,48.5,47.5,48,48,48.27,601,29010.5,,550,91.51
BAJAUTOFIN,EQ,10 04 2002,48,47.55,48.85,47.55,48.25,48.25,48.15,1600,77045,,1400,87.5
BAJAUTOFIN,EQ,11 04 2002,48.25,48.25,48.5,46,47.05,47.05,47.61,1700,80936,,1600,94.12
BAJAUTOFIN,EQ,12 04 2002,47.05,48.9,48.9,46,47.5,47.5,47,2455,115381,,1805,73.52
